Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
2B/3B,"Spangenberg, Cory",SD,L,L,SF,"Bumgarner, M.",Bench,"$2,600",2.0,0.8,1.3,0.5,1.3,0.5
2B/3B,"Gosselin, Phil",ATL,R,R,NYM,"Gee, D.",Bench,"$2,800",2.0,0.7,12.0,4.3,12.0,4.3
OF,"Schafer, Logan",MIL,L,R,PIT,"Worley, V.",Bench,"$2,900",2.0,0.7,0.0,0.0,0.0,0.0
2B/3B,"Hernandez, Cesar",PHI,B,R,WAS,"Fister, D.",Bench,"$2,800",2.0,0.7,3.0,1.1,3.0,1.1
1B/C,"Pacheco, Jordan",ARI,R,L,LAD,"Kershaw, C.",Bench,"$2,200",2.0,0.9,0.8,0.3,0.8,0.3
2B/3B,"Solarte, Yangervis",SD,B,L,SF,"Bumgarner, M.",2nd,"$2,800",1.9,0.7,3.0,1.1,3.0,1.1
C,"Lobaton, Jose",WAS,B,L,@PHI,"Hamels, C.",Bench,"$2,600",1.9,0.7,4.0,1.5,4.0,1.5
3B/SS,"Herrera, Jonathan",CHC,B,R,@COL,"Kendrick, K.",Bench,"$3,400",1.9,0.6,0.0,0.0,0.0,0.0
2B/SS,"Pennington, Cliff",ARI,B,L,LAD,"Kershaw, C.",Bench,"$2,500",1.9,0.8,5.3,2.1,5.3,2.1
OF,"Van Slyke, Scott",LAD,R,R,@ARI,"Bradley, A.",Bench,"$4,600",1.9,0.4,0.7,0.1,0.7,0.1
OF,"Stubbs, Drew",COL,R,R,CHC,"Hammel, J.",Bench,"$4,600",1.9,0.4,0.0,0.0,0.0,0.0
C,"Laird, Gerald DTD",ARI,R,L,LAD,"Kershaw, C.",Bench,"$2,500",1.9,0.8,0.0,0.0,0.0,0.0
OF,"Venable, Will",SD,L,L,SF,"Bumgarner, M.",Bench,"$3,300",1.8,0.5,0.0,0.0,0.0,0.0
SS,"Tejada, Ruben",NYM,R,R,@ATL,"Teheran, J.",Bench,"$2,500",1.8,0.7,0.0,0.0,0.0,0.0
OF,"Dyson, Jarrod",KC,L,R,@LAA,"Weaver, J.",Unknown,"$4,000",1.7,0.4,0.0,0.0,0.0,0.0
OF,"Ethier, Andre",LAD,L,R,@ARI,"Bradley, A.",5th,"$3,300",1.7,0.5,0.7,0.2,0.7,0.2
3B/SS,"Amarista, Alexi",SD,R,L,SF,"Bumgarner, M.",Bench,"$2,700",1.4,0.5,1.8,0.7,1.8,0.7
2B/SS,"Descalso, Daniel",COL,L,R,CHC,"Hammel, J.",Bench,"$3,500",1.4,0.4,0.0,0.0,0.0,0.0
2B/3B,"Colon, Christian",KC,R,R,@LAA,"Weaver, J.",Unknown,"$3,100",1.4,0.4,0.0,0.0,0.0,0.0
C,"Sanchez, Hector",SF,B,R,@SD,"Shields, J.",Bench,"$2,400",1.2,0.5,3.3,1.4,3.3,1.4
SP,"Worley, Vance",PIT,R,R,@MIL,"Nelson, J.",P,"$6,000",1.2,0.2,0.0,0.0,0.0,0.0
OF,"Cowgill, Collin",LAA,R,R,KC,"Guthrie, J.",Bench,"$2,700",1.1,0.4,1.0,0.4,1.0,0.4
2B/3B,"Arias, Joaquin",SF,R,R,@SD,"Shields, J.",Bench,"$2,600",1.1,0.4,0.0,0.0,0.0,0.0
OF,"McCutchen, Andrew DTD",PIT,R,R,@MIL,"Nelson, J.",Bench,"$5,600",0.0,0.0,7.3,1.3,7.3,1.3
1B,"Belt, Brandon DTD",SF,L,R,@SD,"Shields, J.",Bench,"$3,800",0.0,0.0,2.5,0.7,2.5,0.7
1B/OF,"Rua, Ryan DL-15",TEX,R,R,HOU,"Hernandez, R.",Bench,"$3,700",0.0,0.0,3.6,1.0,3.6,1.0
